"role_id","role_name","role_key","role_sort","data_scope","status","del_flag","create_by","create_time","update_by","update_time","remark"
1,"Admin","admin",1,"1","0","0","admin",5/9/2022 9:57:33 AM.823,"",,
2,"Common","common",1,"1","0","0","admin",5/9/2022 9:57:50 AM.720,"",,
